"","Date","Gbp.usd","Domestic.Production.from.UKCS","Import","Per.GDP.Growth","Average.Temperature","Price.Electricity","Price.Gas","Gbp.eur","Price.ngl","Number.of.gas.switches","Electricity.churn.ratios","Price.lng","Price.coal","Price.gas.oil","Price.standard.grade.burning.oil","Price.diesel","Price.premium.unleaded","Price.super.unleaded","Price.wti.crude","Price.brent.crude"
"15",2011-12-01,1.5537,3.22,6.16,0.2,6.01,43.54,56.04,1.1843,15.31,219000,2,18.05,118.1764286,60.59,60.59,140.63,132.09,139.74,98.56,107.87
"16",2012-01-01,1.5758,3.02,6.48,0.2,5.59,42.17,54.43,1.2034,13.82,194000,3.2,17.46,123.0857143,61.04,61.04,141.34,132.89,140.4,100.27,110.69
"17",2012-02-01,1.5917,2.81,6.75,-0.3,5,49.1,65.41,1.1941,12.47,149000,3.5,16.71,124.9668367,61.52,61.52,142.56,134.56,141.82,102.2,119.33
"18",2012-03-01,1.6013,3.16,4.99,0.3,8.41,45.64,58.44,1.1981,13.13,190000,3,18.42,114.150974,63.28,63.28,145.04,137.67,144.9,106.16,125.45
"19",2012-04-01,1.6233,2.56,4.94,-0.5,7.19,45.91,59.94,1.2161,12.72,176000,2.1,19.57,110.3537594,64.4,64.4,147.78,141.74,148.85,103.32,119.75
"20",2012-05-01,1.5405,2.38,4.35,1.2,11.15,43.79,57.01,1.244,10.83,202000,3.3,18.33,103.8194805,59.1,59.1,144.01,137.68,145.36,94.66,110.34
"21",2012-06-01,1.5709,2.29,3.3,-1.6,13.01,42.24,55.15,1.2416,8.7,192000,3.3,19.38,92.75469925,54.5,54.5,137.44,131.63,139.36,82.3,95.16
"22",2012-07-01,1.5677,2.1,3.5,1.9,14.72,42.71,55.6,1.2688,9.66,190000,3.2,19.1,91.36412338,53.74,53.74,136.59,131.08,138.44,87.9,102.62
"23",2012-08-01,1.5866,2.03,3.26,0.5,16.02,41.21,54.53,1.2676,10.18,187000,2.9,18.39,93.45633117,57.87,57.87,139.41,134.13,141.59,94.13,113.36
"24",2012-09-01,1.6166,2.02,2.44,-1,12.85,43.39,60.45,1.2524,10.04,195000,2.8,18.76,93.18160714,60.65,60.65,143.98,139.13,146.45,94.51,112.86
"25",2012-10-01,1.613,2.5,4.32,0.5,9.33,47.6,64.35,1.2393,10.35,273000,2.7,17.27,86.88540373,60.44,60.44,143.02,138.08,145.58,89.49,111.71
"26",2012-11-01,1.6013,2.39,5.6,0.1,6.84,49,65.63,1.244,10.16,174000,2.6,16.83,87.21964286,57.75,57.75,141.1,134.54,142.28,86.53,109.06
"27",2012-12-01,1.6253,2.35,7.05,-0.2,5.14,49.76,65.5,1.231,9.73,159000,2,17.52,96.07612782,57.18,57.18,139.66,131.55,139.4,87.86,109.49
"28",2013-01-01,1.5857,2.6,7.21,0.3,4.26,49.96,66.83,1.2,9.84,157929,3.1,17.79,96.95211039,57.85,57.85,139.46,131.71,139.35,94.76,112.96
"29",2013-02-01,1.5162,2.28,7,0.7,3.68,51.44,68.88,1.1594,9.91,117964,3.6,17.72,100.3473214,64.59,64.59,143.9,136.37,144.03,95.31,116.05
"30",2013-03-01,1.5203,2.47,7.63,-0.1,3.18,62.9,86.57,1.1634,9.57,144213,2.4,18.31,97.31678571,62.73,62.73,144.61,137.25,144.99,92.94,108.47
"31",2013-04-01,1.5533,2.5,5.49,0.2,7.18,51.3,69.98,1.175,9.64,186690,2.5,17.71,93.23316327,57.76,57.76,141.27,136.81,144.24,92.02,102.25
"32",2013-05-01,1.5199,2.6,4.16,0.5,10.15,48.89,66.14,1.1777,9.48,155031,2.9,16.94,93.12602041,55.39,55.39,137.95,132.75,140.54,94.51,102.56
"33",2013-06-01,1.5212,2.27,3.99,0.1,13.47,47.31,60.47,1.174,9.06,148453,3.1,17.69,89.64267857,54.99,54.99,139.26,134.06,141.88,95.77,102.92
"34",2013-07-01,1.5208,1.87,3.07,0.4,17.54,48.73,65.23,1.16,9.56,160793,2.9,16.98,82.22236025,56.94,56.94,139.62,134.74,142.26,104.67,107.93
"35",2013-08-01,1.551,1.65,2.63,0.3,16.26,47.31,64.65,1.1649,10.21,140749,3.1,17,82.22142857,55.32,55.32,141.63,136.87,144.42,106.57,111.28
"36",2013-09-01,1.6186,1.88,2.76,0,13.61,49.63,65.71,1.1883,10.26,145414,3.2,17.01,83.29591837,56.64,56.64,142.33,137.19,145.03,106.29,111.6
"37",2013-10-01,1.6042,2.2,3.64,0.6,12.16,48.22,65.08,1.1797,10.41,213589,3.5,16.49,85.44363354,54.44,54.44,138.76,131.48,139.49,100.54,109.08
"38",2013-11-01,1.6367,2.29,5.67,0,6.61,53.05,68.29,1.1938,10.42,358799,2.6,16.71,88.36326531,54.36,54.36,137.3,129.73,136.2,93.86,107.79
"39",2013-12-01,1.6558,2.63,5.67,-0.2,6.67,50.81,69.35,1.1947,10.76,260325,2.2,17.72,89.44446429,54.72,54.72,138.77,130.79,138.55,97.63,110.76
"40",2014-01-01,1.6436,2.7,5.96,0.5,5.69,47.67,65.1,1.2097,11.61,188870,3.4,17.76,87.97353896,55.67,55.67,138.11,130.16,137.77,94.62,108.12
"41",2014-02-01,1.6745,2.48,5.24,0.4,6.05,45.15,58.86,1.2122,11.94,169946,3.5,17.96,83.02767857,52.87,52.87,136.65,129,136.34,100.82,108.9
"42",2014-03-01,1.6663,2.62,4.8,0.6,7.42,44.41,56.53,1.2021,10.03,195773,3.6,17.81,79.75306122,51.59,51.59,136.03,128.62,136.26,100.8,107.48
"43",2014-04-01,1.6873,2.5,3.73,-0.1,9.83,41.77,49.89,1.2125,10.26,201512,4.5,17.67,78.52071429,51.36,51.36,135.87,128.79,136.34,102.07,107.76
"44",2014-05-01,1.6752,2.54,3.69,0.3,11.82,39.62,45.33,1.2267,10.02,179604,3.4,17.68,78.83464286,50.27,50.27,136.1,129.32,137.15,102.18,109.54
"45",2014-06-01,1.7106,2.44,3.1,0.2,14.75,36.67,39.5,1.2436,10.17,163568,3.7,17.51,77.34846939,51.69,51.69,135.41,129.7,137.35,105.79,111.8
"46",2014-07-01,1.6886,2.33,3.15,0.4,16.95,35.46,37.51,1.2611,9.94,145714,3.6,17.43,74.03804348,51.33,51.33,136.01,131.12,138.67,103.59,106.77
"47",2014-08-01,1.6599,2.03,2.93,0,14.75,37.95,40.61,1.2542,9.69,150623,3.6,16.23,74.24839286,51.15,51.15,133.61,129.27,136.85,96.54,101.61
"48",2014-09-01,1.6214,1.88,3.07,0.2,14.65,43.28,48.43,1.2639,9.86,180965,3.6,15.7,71.52564935,51.02,51.02,133.07,128.51,136.13,93.21,97.09
"49",2014-10-01,1.5998,2.32,3.94,0.3,12.01,44.81,50.42,1.2678,8.75,232178,3.1,15.23,68.98462733,46.73,46.73,131.08,126.76,134.24,84.4,87.43
"50",2014-11-01,1.5649,2.35,4.85,0.2,8.6,48.43,54.84,1.2646,7.84,216783,2.9,16.41,67.33071429,46.32,46.32,127.18,122.48,130.02,75.79,79.44
"51",2014-12-01,1.5575,2.46,6.08,0.1,5.5,43.96,53.62,1.2686,5.63,250638,2.4,16.58,67.1622449,41.75,41.75,122.37,116.22,123.71,59.29,62.34
"52",2015-01-01,1.5069,2.49,6.68,0,4.69,39.86,46.1,1.3045,5.08,155789,3.3,15.5,64.71632653,36.43,36.43,115.85,108.45,116.22,47.22,47.76
"53",2015-02-01,1.5434,2.15,6.38,0.2,4.39,42.86,50.47,1.3503,5.7,230518,4.1,14.69,70.65910714,37.27,37.27,114.6,107.2,114.94,50.58,58.1
"54",2015-03-01,1.4818,2.48,5.66,0.2,6.36,40.91,47.23,1.3825,5.52,304679,3.6,13.05,68.34496753,36.84,36.84,118.21,111.04,118.68,47.82,55.89
"55",2015-04-01,1.5351,2.64,3.55,0.6,8.73,43.97,46.86,1.3856,5.58,214556,2.8,11.02,61.19785714,36.47,36.47,119.09,112.55,120.07,54.45,59.52
"56",2015-05-01,1.5291,2.79,3.39,-0.1,10.4,41.21,44.09,1.3852,5.25,197166,2.6,9.04,65.6712406,36.87,36.87,120.97,115.75,123.32,59.27,64.08
"57",2015-06-01,1.571,2.49,2.82,0.1,13.39,41.66,43.37,1.3879,4.78,174688,3,8.79,63.10470779,37.11,37.11,121.24,116.4,123.96,59.82,61.48
"58",2015-07-01,1.5624,2.18,3.19,0.4,15.1,42.2,43.47,1.4139,4.73,192299,3.9,9.32,64.48322981,36.49,36.49,118.73,116.4,124.31,50.9,56.56
"59",2015-08-01,1.5343,2.22,3.62,-0.2,15.39,40.86,39.69,1.4004,4.42,195183,3.1,10.16,63.39321429,30.38,30.38,111.7,114.48,122.33,42.87,46.52
"60",2015-09-01,1.5129,2.24,3.58,0.3,12.74,42.04,41.04,1.3665,4.89,223703,3.6,10.01,61.76542208,31.1,31.1,109.81,111.49,118.63,45.48,47.62
"61",2015-10-01,1.5429,2.53,4.58,0.3,10.99,40.29,39.56,1.3657,4.95,274581,3.8,10.37,57.33068182,31.28,31.28,110.68,108.9,117.22,46.22,48.43
"62",2015-11-01,1.5056,2.65,5.15,0.1,9.25,38.01,35.9,1.4168,4.72,274206,3.4,9.4,55.77806122,30.02,30.02,110.12,107.24,115.64,42.44,44.27
"63",2015-12-01,1.4739,2.81,4.89,0.2,9.11,35.07,34.03,1.3769,4.23,242630,2.9,10.15,55.86581633,28.59,28.59,107.77,103.68,112.36,37.19,38.01
"64",2016-01-01,1.4247,2.87,6.4,-0.1,5.54,36.95,32.05,1.3257,3.69,189143,4.7,8.46,53.42892857,22.81,22.81,102.52,101.74,110.24,31.68,30.7
"65",2016-02-01,1.3916,2.44,6.23,0.3,4.88,33.85,29.66,1.289,3.89,305057,5,7.99,53.78163265,21.89,21.89,101.02,101.4,109.72,30.32,32.18
"66",2016-03-01,1.4362,2.44,6.41,-0.2,6.09,34.76,29.6,1.2809,4.48,361399,4,8.01,55.43520408,26.43,26.43,102.4,101.73,110.53,37.55,38.21
"67",2016-04-01,1.4613,2.45,5.11,0.6,7.38,34.37,29.44,1.2622,4.65,273751,4.3,6.68,54.65867347,27.4,27.4,106.94,106.44,115.02,40.75,41.58
"68",2016-05-01,1.4478,2.33,4.09,-0.3,11.83,34.61,30.41,1.2846,5.11,261324,4.8,6.81,54.52714286,29.56,29.56,109.07,108.43,117.19,46.71,46.74
"69",2016-06-01,1.3311,1.99,3.18,0.1,14.41,37.51,34.2,1.2646,5.25,252712,4.3,7.08,56.22857143,32.01,32.01,111.86,110.96,119.71,48.76,48.25
"70",2016-07-01,1.3231,2.38,3.37,0.1,16,38.4,34.3,1.1884,4.92,221175,3.6,6.85,64.41836735,32.38,32.38,112.65,111.66,120.46,44.65,44.95
"71",2016-08-01,1.3138,1.8,3.07,0.1,16.26,36.51,30.36,1.1687,4.94,209178,3.5,7.42,71.32694805,30.03,30.03,110.68,109.05,118.35,44.72,45.84
"72",2016-09-01,1.2976,1.92,3.73,0.3,15.41,51.13,28.36,1.1722,5.25,271374,6.3,7.79,76.37386364,31.94,31.94,113.23,111.21,120.13,45.18,46.57
"73",2016-10-01,1.2244,2.4,4.64,0,10.83,56.03,42.83,1.119,6.05,384023,6.2,7.93,96.23979592,37.45,37.45,115.64,113.56,123.23,49.78,49.52
"74",2016-11-01,1.2505,2.44,6.49,0.3,6.17,67.54,48.12,1.1533,5.45,297468,5.8,7.16,111.4280844,35.25,35.25,118.36,115.88,125.74,45.66,44.73
"75",2016-12-01,1.2338,2.6,6.65,0.5,6.88,49.87,46.53,1.1838,6.66,317740,3.8,7.09,93.13446429,38.64,38.64,117.16,114.07,123.64,51.97,53.31
"76",2017-01-01,1.2579,2.85,7.49,0.2,4.7,53.37,53.39,1.1613,6.78,239759,4.2,9.174090909,91.4244898,40.68,40.68,121.99,118.69,127.85,52.5,54.58
"77",2017-02-01,1.2381,2.42,5.94,-0.2,6.15,49.49,51.01,1.1732,7.24,296055,3.4,7.128,85.96928571,40.42,40.42,122.8,119.86,128.87,53.47,54.87
"78",2017-03-01,1.255,2.65,5.39,0.2,8.19,41.99,41.02,1.1548,5.91,388103,2.9,5.794782609,86.33385093,39.58,39.58,122.34,119.39,128.4,49.33,51.59
"79",2017-04-01,1.2951,2.62,4.76,0.1,8.82,42.1,39.73,1.1798,6.25,327288,2.5,5.7095,90.11071429,39.77,39.77,119.89,117.3,126.71,51.06,52.31
"80",2017-05-01,1.289,2.65,3.57,0.3,12.7,41.24,39.29,1.1696,6.14,304615,5.2,5.7190625,80.11836735,36.47,36.47,117.4,115.52,125.01,48.48,50.33
"81",2017-06-01,1.3027,2.49,2.51,0.1,15.18,39.68,34.84,1.1403,5.73,315542,3.8,5.523636364,85.67337662,35.73,35.73,117.54,115.55,124.96,45.18,46.37
"82",2017-07-01,1.3214,2.32,3.6,0.1,15.87,43.05,36.21,1.1281,6.27,306437,4,5.631904762,90.77397959,34.99,34.99,115.4,113.9,123.13,46.63,48.48
"83",2017-08-01,1.2931,1.79,3.68,0.2,15.27,43.34,42.57,1.0974,7.01,348605,3.8,6.130869565,102.7724026,36.92,36.92,117.35,115.64,125.18,48.04,51.7
"84",2017-09-01,1.3397,2.06,3.56,0.3,13.38,47.17,46,1.1186,7.8,454861,5,7.084285714,104.775,38.5,38.5,120.52,118.93,128.48,49.82,56.15
"85",2017-10-01,1.3283,2.63,4.25,-0.1,12.15,46.68,45.4,1.1227,7.84,460559,3.9,8.792727273,103.2496753,39.95,39.95,120.34,117.15,126.63,51.58,57.51
"86",2017-11-01,1.3526,2.69,5.63,0.3,6.92,51.45,52.95,1.1259,8.03,375183,2.9,9.571428571,102.487013,43.43,43.43,122.72,119.12,128.71,56.64,62.71
"87",2017-12-01,1.3515,1.89,7.89,0.1,5.35,56.18,58.29,1.133,7.82,325882,2.7,10.70904762,105.968797,43.59,43.59,123.51,119.99,129.53,57.88,64.37
